CHAPTER,STAGE,LIMIT,ROW,COLUMN,TYPE,COLOR,HINT,SHOW_HINT,LKEY
1,1,1,3,3,.........,BBBBBBBBB,"(1, 1)",TRUE,TUTORIAL_BASE
1,2,1,3,3,.........,BBBBBBWWW,"(0, 1)",TRUE,TUTORIAL_COUNT
1,3,2,3,3,.........,WWWWWWBBB,"(0, 1)",TRUE,TUTORIAL_UNDO
1,4,2,3,3,.........,BBBWWWBBB,"(0, 1)",FALSE,TUTORIAL_HINT
1,5,2,3,3,.........,WWWBWBBWB,"(2, 2)",FALSE,
1,6,2,3,3,.........,WWBWWBBBW,"(0, 1)",FALSE,
1,7,3,3,3,.........,BWBBBWBWB,"(0, 2)",FALSE,
1,8,3,3,3,.........,BWWWBBBWW,"(2, 1)",FALSE,
1,9,3,3,3,.........,BWWWBBWBB,"(2, 1)",FALSE,
1,10,3,3,3,.........,WWWBBWWWW,"(0, 1)",FALSE,
1,11,4,3,3,.........,BWBWWWBWB,"(2, 2)",FALSE,
1,12,4,3,3,.........,WBWBWBWBW,"(1, 0)",FALSE,
1,13,5,3,3,.........,WBWBBBWBW,"(0, 0)",FALSE,
1,14,5,3,3,.........,WBBBBWWBB,"(0, 2)",FALSE,
1,15,5,3,3,.........,BWWWBWBWW,"(2, 0)",FALSE,
1,16,5,3,3,.........,BWWBBBWWB,"(0, 0)",FALSE,
1,17,4,3,3,.........,WBWBWBBBB,"(2, 1)",FALSE,
1,18,4,3,3,.........,BWBWWBBBB,"(0, 0)",FALSE,
1,19,4,3,3,.........,WWBBWBBWW,"(2, 1)",FALSE,
1,20,5,3,3,.........,BBBBBWBBB,"(1, 0)",FALSE,
2,1,1,3,3,....+....,WBWBBBWBW,"(1, 1)",TRUE,TUTORIAL_PLUS
2,2,2,3,3,....+....,BWWWWBBWW,"(1, 0)",TRUE,
2,3,3,3,3,....+....,BWWWBWWWB,"(1, 1)",TRUE,
2,4,3,3,3,....+....,BBBWBWBBB,"(1, 0)",FALSE,
2,5,3,3,3,....+....,BBBWBWWBW,"(0, 2)",FALSE,
2,6,2,3,3,.+.+.....,WBBBWWBWW,"(1, 0)",FALSE,
2,7,3,3,3,.+.+.....,WBBBBBBBB,"(1, 0)",FALSE,
2,8,3,3,3,.+.+.....,BWBWBWBWW,"(1, 0)",FALSE,
2,9,4,3,3,.+.+.....,WWWWWBWBW,"(0, 1)",FALSE,
2,10,4,3,3,.+.+.....,BWBWWBBBB,"(1, 2)",FALSE,
2,11,3,3,3,+........,WWBWWWBWW,"(0, 0)",FALSE,
2,12,3,3,3,+........,WBWWWWBBB,"(0, 0)",FALSE,
2,13,3,3,3,+........,BWBWWWBWW,"(2, 1)",FALSE,
2,14,3,3,3,+........,WBBBBWBWB,"(2, 2)",FALSE,
2,15,4,3,3,+........,WWWWWBWBW,"(2, 0)",FALSE,
2,16,3,3,3,.+.+.+.+.,BWBBBBWBW,"(1, 2)",FALSE,
2,17,3,3,3,.+.+.+.+.,BWBBBBBBB,"(0, 0)",FALSE,
2,18,4,3,3,.+.+.+.+.,BWBWWWWWW,"(2, 0)",FALSE,
2,19,5,3,3,.+.+.+.+.,WWWWBWWBW,"(0, 2)",FALSE,
2,20,5,3,3,.+.+.+.+.,BWWWBWBWW,"(0, 0)",FALSE,
3,1,1,3,3,....*....,BWBWBWBWB,"(1, 1)",TRUE,TUTORIAL_X
3,2,2,3,3,....*....,WBWBWBBWB,"(1, 1)",TRUE,
3,3,2,3,3,....*....,BWBBWWWBB,"(1, 1)",TRUE,
3,4,3,3,3,....*....,BWBBBBWWW,"(1, 1)",FALSE,
3,5,3,3,3,....*....,WWWBBBWWW,"(1, 1)",FALSE,
3,6,2,3,3,.*.....*.,WBWWWWWBW,"(0, 1)",FALSE,
3,7,3,3,3,.*.....*.,BBBWWWBWB,"(0, 1)",FALSE,
3,8,4,3,3,.*.....*.,BWWWWWBWW,"(2, 0)",FALSE,
3,9,4,3,3,.*.....*.,BBBBWBBBB,"(2, 1)",FALSE,
3,10,4,3,3,.*.....*.,WBWWBBWWW,"(0, 1)",FALSE,
3,11,2,3,3,*.*...*.*,WWBWWWWWB,"(0, 2)",FALSE,
3,12,3,3,3,*.*...*.*,BWWBBWBBB,"(2, 0)",FALSE,
3,13,4,3,3,*.*...*.*,BWBWWWBWB,"(0, 0)",FALSE,
3,14,4,3,3,*.*...*.*,WWWBWWWBW,"(1, 2)",FALSE,
3,15,5,3,3,*.*...*.*,WWWBBWBBW,"(0, 1)",FALSE,
3,16,3,3,3,*.*.+.*.*,BBBBBBWBW,"(1, 1)",FALSE,
3,17,3,3,3,*.*.+.*.*,WBBBBBBBW,"(1, 1)",FALSE,
3,18,4,3,3,*.*.+.*.*,WWBBWBBWW,"(2, 2)",FALSE,
3,19,4,3,3,*.*.+.*.*,BBBWWBWWB,"(0, 2)",FALSE,
3,20,4,3,3,*.*.+.*.*,WBWBWWWWW,"(1, 2)",FALSE,
4,1,1,3,3,.=.=.=.=.,WBWBWBWBW,"(0, 1)",TRUE,TUTORIAL_LINK
4,2,2,3,3,====.====,WWWWBWWWW,"(1, 1)",TRUE,
4,3,2,3,3,=.=...=.=,WBWBBBWBW,"(1, 1)",TRUE,
4,4,2,3,3,=.=...=.=,WBWBBBBWB,"(0, 0)",FALSE,
4,5,3,3,3,=.=...=.=,WBWWWWWBW,"(0, 1)",FALSE,
4,6,2,3,3,.=.....=.,BWBBBBBWB,"(1, 1)",FALSE,
4,7,3,3,3,.=.....=.,BWWBWBWWB,"(0, 0)",FALSE,
4,8,3,3,3,.=.....=.,WBWBWBBBB,"(0, 1)",FALSE,
4,9,3,3,3,.=.....=.,BWBBBWBWB,"(1, 0)",FALSE,
4,10,3,3,3,.=.....=.,WWBBWBBWW,"(0, 1)",FALSE,
4,11,2,3,3,=.=.+.=.=,BBBBBBBBB,"(0, 0)",FALSE,
4,12,2,3,3,=.=.+.=.=,BWBWWWWBW,"(1, 1)",FALSE,
4,13,3,3,3,=.=.+.=.=,WBWWWWWBW,"(0, 0)",FALSE,
4,14,3,3,3,=.=.+.=.=,BBBWWWWWW,"(1, 1)",FALSE,
4,15,3,3,3,=.=.+.=.=,BBWBWWWWB,"(2, 2)",FALSE,
4,16,2,3,3,.=.=*=.=.,BBBBBBBBB,"(1, 1)",FALSE,
4,17,2,3,3,.=.=*=.=.,WWBBBWWBW,"(0, 2)",FALSE,
4,18,3,3,3,.=.=*=.=.,WWBWWWBWW,"(0, 1)",FALSE,
4,19,3,3,3,.=.=*=.=.,WBBWBWWBB,"(1, 1)",FALSE,
